"path","IdentityReference","FileSystemRights","AccessControlType","IsInherited","InheritanceFlags"
"C:\program files\7-Zip","NT SERVICE\TrustedInstaller","FullControl","Allow","True","None"
"C:\program files\7-Zip","NT SERVICE\TrustedInstaller","268435456","Allow","True","ContainerInherit"
"C:\program files\7-Zip","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None"
"C:\program files\7-Zip","NT AUTHORITY\SYSTEM","268435456","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\7-Zip","BUILTIN\Administrators","FullControl","Allow","True","None"
"C:\program files\7-Zip","BUILTIN\Administrators","268435456","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\7-Zip","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","None"
"C:\program files\7-Zip","BUILTIN\Users","-1610612736","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\7-Zip","CREATOR OWNER","268435456","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\7-Zip","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow","True","None"
"C:\program files\7-Zip","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","-1610612736","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\7-Zip","APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow","True","None"
"C:\program files\7-Zip","APPLICATION PACKAGE AUTHORITY\ALL RESTRICTED APPLICATION PACKAGES","-1610612736","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\Agent","NT SERVICE\TrustedInstaller","FullControl","Allow","True","None"
"C:\program files\Agent","NT SERVICE\TrustedInstaller","268435456","Allow","True","ContainerInherit"
"C:\program files\Agent","NT AUTHORITY\SYSTEM","FullControl","Allow","True","None"
"C:\program files\Agent","NT AUTHORITY\SYSTEM","268435456","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\Agent","BUILTIN\Administrators","FullControl","Allow","True","None"
"C:\program files\Agent","BUILTIN\Administrators","268435456","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\Agent","BUILTIN\Users","ReadAndExecute, Synchronize","Allow","True","None"
"C:\program files\Agent","BUILTIN\Users","-1610612736","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\Agent","CREATOR OWNER","268435456","Allow","True","ContainerInherit, ObjectInherit"
"C:\program files\Agent","APPLICATION PACKAGE AUTHORITY\ALL APPLICATION PACKAGES","ReadAndExecute, Synchronize","Allow","True","None"
